ID,LocationName,BuildingNumber,StreetAddress,Locality,Region,Postcode,CountryCode,UserID,IsNextOfKin,IsPrimary
1269,St. Thomas University,77,67 Nobel Circle,Niverville,Manitoba,MQ35F,CA,269,1,1
1270,Manuel S. Enverga University Foundation,78906,73 Vahlen Street,Gabaldon,,RV70U,PH,270,1,1
1271,Ecole Supérieure de Commerce de Pau,66545,0479 Carioca Way,Paris 08,Île-de-France,PH92B,FR,271,1,1
1272,Samara State Agricultural Academy,4,93372 Vernon Crossing,Sorokino,,OA22P,RU,272,1,1
1273,Universidad Tecnológica de Santiago,867,489 Harper Hill,Ciudad Nueva,,DO77T,DO,273,1,1
1274,Xinjiang University of Finance and Economics,4,744 Fairview Park,Chedao,,MY02M,CN,274,1,1
1275,Hazara University,33,4 Rutledge Drive,Qila Abdullāh,,JP03D,PK,275,1,1
1276,Ningxia University,93,0 Laurel Park,Baimajing,,AJ40J,CN,276,1,1
1277,National University of Ostroh Academy,9149,7 Maple Trail,Vorzel’,,FX18V,UA,277,1,1
1278,American University of Armenia,6994,4 Vahlen Alley,Hrazdan,,LN22Z,AM,278,1,1
1279,Universidad Adventista de Colombia,1899,224 Steensland Parkway,Lorica,,MX38B,CO,279,1,1
1280,Fujian Agricultural University,0,470 Mayfield Center,Canghou,,EQ40Y,CN,280,1,1
1281,Ivanovo State Academy of Medicine,3,788 Cottonwood Way,Solnechnoye,,SN96R,RU,281,1,1
1282,Ibrahim Babangida University,93,1030 Norway Maple Lane,Owerri,,PA20Q,NG,282,1,1
1283,International Tourism Institute,4522,808 Fallview Alley,Pembroke,,PO96P,MT,283,1,1
1284,Ecole des Hautes Etudes Industrielles de Lille,5,90 Farmco Parkway,Évry,Île-de-France,XV70U,FR,284,1,1
1285,St. Petersburg State University of Engineering and Economics,5444,1 John Wall Crossing,Pelym,,HT24R,RU,285,1,1
1286,Huanghe Science & Technology University,60,24 Longview Court,Shuicha,,SY71E,CN,286,1,1
1287,Bishkek Humanities University,1686,64 Erie Crossing,Batken,,GE71E,KG,287,1,1
1288,Hunan University,72052,4328 Maryland Point,Aiximan,,UL63U,CN,288,1,1
1289,Universidad de Tarapacá,3423,0 Forest Dale Road,Viña del Mar,,HB43H,CL,289,1,1
1290,Yangzhou University,97,3 Fulton Circle,Jiaowei,,VK93M,CN,290,1,1
1291,Université de Technologie de Compiègne,5,940 Springview Plaza,Paris La Défense,Île-de-France,WA61H,FR,291,1,1
1292,New College of California,178,54728 Glacier Hill Crossing,Washington,District of Columbia,XN00Q,US,292,1,1
1293,Mogilev State University A.A. Kuleshov,26028,97 Fulton Way,Khal’ch,,RG12O,BY,293,1,1
1294,Instituto Superior de Gestão - ISG,87495,5273 Monica Drive,Vale Mourão,Lisboa,BS21I,PT,294,1,1
1295,University College of Gävle,3062,63837 Knutson Alley,Ljungbyholm,Kalmar,SJ26B,SE,295,1,1
1296,Bashkir State Pedagogical University named After M. Akmullah,5074,39275 Dorton Junction,Karata,,TP27H,RU,296,1,1
1297,Pontifícia Universidade Católica do Rio Grande do Sul,24583,1773 Rockefeller Crossing,Santa Gertrudes,,KT29Q,BR,297,1,1
1298,Universidade de Lisboa,4787,46 Northland Point,Brejieira,Leiria,FS22V,PT,298,1,1
1299,Instituto Tecnológico de Aeronáutica,3340,90 Sullivan Junction,Farroupilha,,ZH23A,BR,299,1,1
1300,University of Fine Arts Belgrade,48,7 Myrtle Drive,Doljevac,,MI33S,RS,300,1,1
1301,Universidad Autónoma del Caribe,11,940 Monterey Road,Barranco de Loba,,MJ13U,CO,301,1,1
1302,"Music Academy ""Fryderyk Chopin"" in Warszaw",4,9267 Hauk Terrace,Solec-Zdrój,,BH65I,PL,302,1,1
1303,"National American University, Kansas City",340,70651 Debs Place,Denver,Colorado,UT16H,US,303,1,1
1304,University of Education Hradec Kralove,753,302 Monterey Road,Polešovice,,RY37S,CZ,304,1,1
1305,"Universidad Católica Boliviana, Cochabamba",8,480 4th Pass,Nueva Manoa,,RK17Z,BO,305,1,1
1306,Shanghai Ouhua Vocational Technical College,47875,5 Park Meadow Crossing,Baoji,,QW89R,CN,306,1,1
1307,Foundation University,31,2192 Sunbrook Street,Santo Niño,,ZS04K,PH,307,1,1
1308,Université Hassan II - Aïn Chock,99389,294 Towne Point,Taouima,,JE39B,MA,308,1,1
1309,Ural Gorkij State University,111,38 Scott Place,Troitsk,,YO67U,RU,309,1,1
1310,Bicol University,23,7 Erie Park,Bongao,,YH31F,PH,310,1,1
1311,Universitas Sumatera Utara,689,41553 Washington Lane,Tilamuta,,VL18E,ID,311,1,1
1312,Hochschule Mittweida (FH),397,61 5th Lane,Berlin,Berlin,ZC20U,DE,312,1,1
1313,Southern Yangtze University,34,80 Marcy Road,Gaoyan,,TB09D,CN,313,1,1
1314,Universidad Metropolitana de Honduras,75467,00488 Spenser Lane,Aramecina,,QI84H,HN,314,1,1
1315,University of Cebu,3,69203 Mesta Place,Molave,,BS06H,PH,315,1,1
1316,Colegio de San Juan de Letran,97574,77356 Lawn Junction,Bungabon,,GQ67A,PH,316,1,1
1317,Akita University of Economics and Law,53,19913 Kings Trail,Ujiie,,UA47E,JP,317,1,1
1318,Universitas Sumatera Utara,9458,42 Hudson Way,Mertani,,OL94J,ID,318,1,1
1319,Institut d'Etudes Politiques de Bordeaux,40435,28130 Carpenter Alley,Chantepie,Bretagne,QE03F,FR,319,1,1
1320,Nagoya University,47,1588 Briar Crest Terrace,Fukayachō,,PC46Z,JP,320,1,1
1321,Nanjing Forestry University,610,838 Garrison Road,Yaogu,,US42I,CN,321,1,1
1322,Universidad Católica de La Plata,18338,137 Hermina Parkway,Tinogasta,,YO18H,AR,322,1,1
1323,Wenzhou University,396,0 Clarendon Avenue,Lianhe,,UE31C,CN,323,1,1
1324,Irkutsk State University,8935,6 Upham Plaza,Galyugayevskaya,,KU19L,RU,324,1,1
1325,Gansu University of Technology,560,7562 Delladonna Road,Shuangqiao,,HE80I,CN,325,1,1
1326,Universidad Experimental Felix Adam,52761,6530 Packers Lane,Hato Mayor del Rey,,ID09S,DO,326,1,1
1327,Hubei University,5060,9019 Thackeray Terrace,Yingtou,,ZJ21H,CN,327,1,1
1328,Universidad Católica de Honduras,67,293 Pennsylvania Court,Carbajales,,FH19M,HN,328,1,1
1329,University of Science and Technology of China,5721,06818 Southridge Court,Futang,,VF25M,CN,329,1,1
1330,University of Southern Mindanao,71,854 Arapahoe Street,Alacaygan,,GA40J,PH,330,1,1
1331,Dneprodzerzhinsk State Technical University,65,261 Graceland Trail,Chervonopartyzans’k,,IM94Z,UA,331,1,1
1332,Kamchatka State University Vitus Bering,917,4524 Elmside Plaza,Leninsk,,CP68C,RU,332,1,1
1333,Tenri University,28436,82 Mayer Alley,Mutsu,,WX89B,JP,333,1,1
1334,Lanzhou University,939,20 Eliot Place,Xiangrong,,VK48A,CN,334,1,1
1335,Al-Nasser University,28,0230 Old Shore Center,Az̧ Z̧alī‘ah,,MJ20N,YE,335,1,1
1336,National University of Defense Technology,16551,256 Hallows Circle,Leiyang,,ZP04M,CN,336,1,1
1337,Universidad del Tolima,8494,55 Marquette Alley,Salamina,,RM61I,CO,337,1,1
1338,South University of Science and Technology of China ,719,6080 Continental Alley,Dongjie,,GC30R,CN,338,1,1
1339,Faculdades Integradas do Brasil - UNIBRASIL,45676,72 Blackbird Avenue,Aparecida,,OZ24P,BR,339,1,1
1340,CETYS Universidad,217,20 Haas Pass,Patsi,,VF85K,KM,340,1,1
1341,Ludwik Solski State Academy of Theatre in Cracow,6078,0477 Basil Plaza,Leśnica,,FS59O,PL,341,1,1
1342,Kerman Graduate University of Technology,21345,102 Hudson Point,Gonābād,,BC54L,IR,342,1,1
1343,Mendel University of Agriculture and Forestry,935,9855 Westport Junction,Štítná nad Vláří,,JK62R,CZ,343,1,1
1344,Foshan University,6995,3 Ronald Regan Road,Yanhu,,EA35T,CN,344,1,1
1345,The Queen's University Belfast,5487,86873 Welch Avenue,Aston,England,SG71Q,GB,345,1,1
1346,Beijing Medical University,51,6053 Myrtle Point,Liuzu,,KY52T,CN,346,1,1
1347,Yarmouk Private University ,833,753 Redwing Circle,Khān Shaykhūn,,LA30F,SY,347,1,1
1348,Taiyuan University of Technology,8098,41 Chinook Place,Ganjun,,HQ72T,CN,348,1,1
1349,Technical University of Mining and Metallurgy Ostrava,245,11105 Toban Pass,Jesenice,,CE05Y,CZ,349,1,1
1350,University of Commerce Luigi Bocconi,257,334 Del Mar Pass,Messina,Sicilia,EK95V,IT,350,1,1
1351,Azerbaijan University ol Languages,17,41 Bashford Terrace,Imishli,,ZB70H,AZ,351,1,1
1352,University of the Faroe Islands,9,25 5th Lane,Tvøroyri,,BU00O,FO,352,1,1
1353,Instituto Superior de Ciências Empresariais e de Turismo,96,9 Northfield Alley,Espinho,Coimbra,AE10U,PT,353,1,1
1354,Universitas Proklamasi 45,7,28388 Badeau Parkway,Desa Wetan Ciakar,,LW53V,ID,354,1,1
1355,Universitas Jambi,46693,2801 Calypso Plaza,Dalam,,JG39J,ID,355,1,1
1356,Rizal Technological University,4,66376 Oneill Way,Canjulao,,BF14U,PH,356,1,1
1357,Universidad Notarial Argentina,989,212 Marcy Parkway,Federal,,NQ42L,AR,357,1,1
1358,South China Construction University,8882,1160 Novick Court,Wuma,,VX80A,CN,358,1,1
1359,Nizhny Novgorod State Academy of Medicine,3,6438 Daystar Point,Rasshevatskaya,,ND80Y,RU,359,1,1
1360,Universidad Panamericana de San Salvador,76112,9285 Park Meadow Crossing,Atiquizaya,,NK71R,SV,360,1,1
1361,"Institute of Management Sciences, Lahore (IMS)",9,1 Vera Terrace,Parachinar,,IW67E,PK,361,1,1
1362,Göteborg University,36697,034 Dexter Point,Solna,Stockholm,IT94H,SE,362,1,1
1363,Universitas Proklamasi 45,365,142 Sycamore Road,Gambiran,,EV05Z,ID,363,1,1
1364,Western Mindanao State University,18,800 Michigan Way,Can-Avid,,TL06B,PH,364,1,1
1365,Universitas Bung Hatta,15465,4 Maple Wood Lane,Barisan,,TF06T,ID,365,1,1
1366,University of Luxemburg,972,2821 Parkside Park,Beckerich,,UQ11W,LU,366,1,1
1367,Notre Dame of Marbel University,31689,05234 Melvin Park,Nagbalaye,,TK45A,PH,367,1,1
1368,Universidade do Grande Rio,7436,6 Buhler Crossing,Astorga,,AQ02N,BR,368,1,1
1369,Universitas Kristen Maranatha,666,90 Duke Place,Dairiti,,KS86L,ID,369,1,1
1370,"Corporación Educativa Mayor del Desarrollo ""Simón Bolivar""",38,9821 Longview Way,Piedrancha,,DJ09I,CO,370,1,1
1371,University of Split,44833,58544 Cody Park,Primošten,,PC12X,HR,371,1,1
1372,Guangdong University of Technology,3,787 Morrow Alley,Kunheda Woerzu Manzu,,OJ34T,CN,372,1,1
1373,Liaoning University,14238,2 Meadow Vale Park,Lianghekou,,KI18U,CN,373,1,1
1374,Katowice School of Economics,6350,43 Tony Crossing,Kostrzyn nad Odrą,,CX32U,PL,374,1,1
1375,Pomorsk State University,87,8 Thierer Place,Polunochnoye,,MK22B,RU,375,1,1
1376,Samara State Agricultural Academy,6,1 Moland Plaza,Nauchnyy Gorodok,,AV72X,RU,376,1,1
1377,Universidad del Istmo,806,84720 Farwell Lane,Cabricán,,NG41H,GT,377,1,1
1378,Open University of Tanzania,8,8241 Bayside Crossing,Kasulu,,XP87T,TZ,378,1,1
1379,Tibet University,212,291 Basil Place,Xinyi,,SJ14B,CN,379,1,1
1380,Taganrog State University of Radioengineering,1049,1 Acker Avenue,Gordeyevka,,YV59N,RU,380,1,1
1381,Ho Chi Minh City University of Social Sciences and Humanities,8786,8 Atwood Court,Phú Khương,,NA81T,VN,381,1,1
1382,Tunku Syed Sirajuddin Polytechnic,7,15730 Pennsylvania Pass,Kuala Terengganu,Terengganu,YT45K,MY,382,1,1
1383,Universitas Wijaya Kusuma Purwokerto,3,45263 Kings Park,Tanagara,,ME09R,ID,383,1,1
1384,Sekolah Tinggi Akuntansi Negara (STAN),61516,13 Mayfield Terrace,Kiraman,,TX91K,ID,384,1,1
1385,Universidad de Buenos Aires,1756,847 Maryland Way,Aluminé,,UI93B,AR,385,1,1
1386,European University,26712,77488 Dovetail Pass,Stari Banovci,,SQ90P,RS,386,1,1
1387,Lulea University of Technology,509,5577 Milwaukee Parkway,Hallstavik,Stockholm,SG53Y,SE,387,1,1
1388,University of Ostrava,605,06 Stone Corner Plaza,Kořenov,,QK83G,CZ,388,1,1
1389,Adventist University of the Philippines,9244,5 Shopko Alley,Tucuran,,VT18V,PH,389,1,1
1390,Greenwich University,9792,249 Kensington Pass,Mach,,EJ50U,PK,390,1,1
1391,Herat University,37158,0868 Oriole Street,Jabal os Saraj,,RW68L,AF,391,1,1
1392,Crimea State Medical University,7575,924 Vidon Way,Horodnya,,GP13O,UA,392,1,1
1393,Baze University Abuja,6,2 Rutledge Point,Esuk Oron,,TK60B,NG,393,1,1
1394,Universitas Mulawarman,681,89696 Atwood Center,Krajan,,UA05J,ID,394,1,1
1395,Mindanao State University,7256,3826 Reindahl Parkway,Bulacan,,NM90U,PH,395,1,1
1396,Shanghai Maritime University,1,9503 Holmberg Avenue,Tunzhai,,LJ09D,CN,396,1,1
1397,Obong University,2402,143 Kenwood Park,Wamba,,SI86X,NG,397,1,1
1398,Novosibirsk State Agricultural University,4419,00084 Meadow Valley Parkway,Krasnyy Kholm,,MB81C,RU,398,1,1
1399,Universitas Simalungun,1951,0739 Grasskamp Plaza,Lasiana,,TU97J,ID,399,1,1
1400,Technical University of Crete,903,42 Carberry Terrace,Skiáthos,,TG67Q,GR,400,1,1
1401,China University of Mining Technology - Beijing,6,53 Warner Place,Xinle,,MU96A,CN,401,1,1
1402,Union University,6705,66799 Lyons Court,Milwaukee,Wisconsin,LX45M,US,402,1,1
1403,Tashkent State University of Economics,3543,60 Drewry Alley,To’rtko’l Shahri,,PL26U,UZ,403,1,1
1404,Mid-Sweden University,6925,7911 Burrows Point,Kävlinge,Skåne,FO37J,SE,404,1,1
1405,Leon Kozminski Academy of Entrepreneurship and Mangement in Warsaw,11180,501 Larry Trail,Pyzdry,,TW66U,PL,405,1,1
1406,University of Central Greece,621,119 Browning Crossing,Áthyra,,UK19I,GR,406,1,1
1407,"Universidad Pedagógica Nacional ""Francisco Morazán""",6,87635 Norway Maple Trail,La Libertad,,SQ63L,HN,407,1,1
1408,Sevastopol National Technical University,64,09 Drewry Lane,Bezlyudivka,,SP17C,UA,408,1,1
1409,"University of the West Indies, Mona",5,84 Orin Circle,Gayle,,EP80K,JM,409,1,1
1410,Ecole Centrale de Lille,4297,526 Melvin Park,Dijon,Bourgogne,VH68I,FR,410,1,1
1411,Guangdong Peizheng College ,21204,01955 Morningstar Court,Jagdaqi,,MH71L,CN,411,1,1
1412,Universidade do Minho,0,64324 Corry Road,Sanguinheira,Coimbra,LZ80C,PT,412,1,1
1413,Universidade Federal de Campina Grande,6,93 Magdeline Point,Penha,,HP84J,BR,413,1,1
1414,Al-hikmah University,69252,763 Luster Drive,Kaltungo,,EQ93S,NG,414,1,1
1415,Universidade Federal Rural do Semi-Árido,2568,21288 Basil Parkway,Tietê,,RY64I,BR,415,1,1
1416,Hainan Normal University,7,938 Service Hill,Dongshe,,IE48A,CN,416,1,1
1417,Universidad Externado de Colombia,5,1459 Del Mar Way,Guachucal,,SC48W,CO,417,1,1
1418,University of Guelph,1755,426 Division Junction,Beaverlodge,Alberta,CM21N,CA,418,1,1
1419,Shanghai City College,1254,0543 Village Green Road,Gongji,,MU44P,CN,419,1,1
1420,St. Petersburg State University of Telecommunication,231,73 Iowa Plaza,Pushkino,,IZ29R,RU,420,1,1
1421,Central South University,610,969 Mitchell Hill,Hualong,,WE33X,CN,421,1,1
1422,Yaroslavl State Pedagogical University,59,1 Golden Leaf Avenue,Konëvo,,MF93X,RU,422,1,1
1423,Universidad Nacional Siglo XX Llallagua,55,929 Namekagon Terrace,Potolo,,QY83W,BO,423,1,1
1424,Jilin University,62895,73 Oakridge Plaza,Xinzhou,,MX95Q,CN,424,1,1
1425,University of the Philippines Manila,47520,0 Butterfield Park,San Casimiro,,QT16F,PH,425,1,1
1426,Zaporizhzhe National University,160,593 Stang Alley,Mysove,,LA90Y,UA,426,1,1
1427,Technological Education Institute of Piraeus,84,93312 Utah Terrace,Áyios Yeóryios,,PQ80K,GR,427,1,1
1428,Université Thierno Amadou Diallo,8832,68 Arkansas Crossing,Beyla,,XN93S,GN,428,1,1
1429,"Universidad ""Juan Agustín Maza""",0,2486 Bunting Circle,Goya,,YL73K,AR,429,1,1
1430,Universidade Federal Rural do Semi-Árido,44,9 Kensington Lane,Caldas Novas,,LS27Y,BR,430,1,1
1431,Universitas Kristen Maranatha,5429,98354 Rieder Way,Karangnunggal,,WB84R,ID,431,1,1
1432,Universitas Trisakti,551,2961 Bluestem Parkway,Kakaek,,YG30K,ID,432,1,1
1433,Agricultural University of Lublin,156,3 Sauthoff Plaza,Dąbie,,ZH53Z,PL,433,1,1
1434,Centro Universitário Newton Paiva,4120,9407 Prairie Rose Court,São Sebastião,,IQ37U,BR,434,1,1
1435,Universitas 17 Agustus 1945 Banyuwangi,41087,62 Muir Terrace,Temuji,,DW53C,ID,435,1,1
1436,Universitas Negeri Surabaya,82,0 Cottonwood Lane,Baranusa,,MI83Q,ID,436,1,1
1437,Institut National Supérieur de Formation Agro-Alimentaire,6137,62100 Gulseth Alley,Angoulême,Poitou-Charentes,HU86Z,FR,437,1,1
1438,Université d'Antsiranana,5243,1792 Carberry Place,Andovoranto,,RN04X,MG,438,1,1
1439,Konan Women's University,6481,29 Waubesa Avenue,Iwai,,YC19X,JP,439,1,1
1440,Singidunum University,3619,384 Farragut Place,Ćićevac,,GM47Q,RS,440,1,1
1441,National University,7896,39259 Longview Terrace,Tagbina,,WN88E,PH,441,1,1
1442,University of Ontario Institute of Technology,7453,3 Northwestern Circle,Sicamous,British Columbia,LQ43M,CA,442,1,1
1443,Smolny University,4,3 Kings Center,Uvarovka,,DR50Q,RU,443,1,1
1444,Shanghai Lida Polytechnic Institute,7415,307 Warrior Pass,Youlan,,MP72Y,CN,444,1,1
1445,Royal lnstitute of Technology,4,5055 Carey Junction,Jönköping,Jönköping,PF47P,SE,445,1,1
1446,Baze University Abuja,3517,50 Northridge Parkway,Gorgoram,,IH99X,NG,446,1,1
1447,Bingham University,0,147 Dorton Terrace,Bassa,,ZJ81U,NG,447,1,1
1448,Hebei University of Technology,8764,14347 Harbort Place,Pinghu,,HE53Q,CN,448,1,1
1449,University of Human Development (Kurdistan Region),9675,458 New Castle Court,Nahiyat Ghammas,,NA90N,IQ,449,1,1
1450,Vilnius Gediminas Technical University,2,66565 Algoma Lane,Tytuvėnėliai,,JX33Y,LT,450,1,1
1451,Ural Academy of Public Administration,30,84 Westerfield Parkway,Pridonskoy,,QU39Q,RU,451,1,1
1452,Central Mindanao University,835,2261 Bultman Park,Lombog,,WD94B,PH,452,1,1
1453,Universitas Negeri Gorontalo,8,3 Mccormick Street,Oekuu,,NX30Z,ID,453,1,1
1454,Universitas Negeri Gorontalo,44,310 Porter Junction,Krajandadapmulyo,,OS51I,ID,454,1,1
1455,Southwest University of Political Science and Law,1851,5292 Helena Terrace,Wansheng,,PU03O,CN,455,1,1
1456,Universitas Lampung,308,9337 Hoard Avenue,Krajan Gajihan,,BH69U,ID,456,1,1
1457,Ryszard Lazarski University of Commerce and Law in Warsaw,9120,91744 Grayhawk Trail,Dubiecko,,UY31W,PL,457,1,1
1458,Universidad Privada San Juan Bautista,2973,22 Eagan Drive,Tres Unidos,,DB03F,PE,458,1,1
1459,Bicol University,341,485 Sachs Park,Polloc,,SK72Y,PH,459,1,1
1460,Beijing Sport University,87168,16329 Dunning Center,Liangdang Chengguanzhen,,QT99J,CN,460,1,1
1461,Université Julius Nyerere Kankan,2,28501 West Park,Beyla,,EF84K,GN,461,1,1
1462,Royal College of Surgeons,822,8397 Stone Corner Court,Blarney,,GE50E,IE,462,1,1
1463,University of Ioannina,14,4 Hallows Hill,Palaiomonástiron,,KU77P,GR,463,1,1
1464,Universiti Tunku Abdul Rahman,6969,00 Logan Parkway,Kota Kinabalu,Sabah,ZV76H,MY,464,1,1
1465,Tianjin University,8829,8625 Gerald Plaza,Diancun,,UC39A,CN,465,1,1
1466,Universitas Airlangga,906,126 Vera Drive,Pangrumasan,,HU20T,ID,466,1,1
1467,"International School of New Media, University of Lübeck",90964,7946 Onsgard Street,Freiburg im Breisgau,Baden-Württemberg,LB25R,DE,467,1,1
1468,Tiffin University Prague,27,443 Reindahl Court,Štítná nad Vláří,,KA31R,CZ,468,1,1
1469,Universidad Nacional Agraria de la Selva,37,0576 Eastwood Point,Huaylillas,,DO67T,PE,469,1,1
1470,Anhui University of Traditional Chinese Medicine,92204,5569 Westend Avenue,Huangjin,,KY84M,CN,470,1,1
1471,Higher School of Economics,8,42197 Starling Way,Tver,,SB47J,RU,471,1,1
1472,Nairobi Technical Training Institute ,32110,93 Raven Junction,Nanyuki,,IP24K,KE,472,1,1
1473,Shandong Normal University,0,08 Glacier Hill Plaza,Junkou,,UP41O,CN,473,1,1
1474,University of Oulu,82,9 Dwight Drive,Viitasaari,,FC61D,FI,474,1,1
1475,Universidade Estadual do Oeste do Paraná,8477,9 8th Way,Abaetetuba,,NB26V,BR,475,1,1
1476,Universidad Fray Luca Paccioli,4895,1 Schlimgen Parkway,Tierra y Libertad,Chihuahua,SP53Z,MX,476,1,1
1477,Komsomolsk-on-Amur State Technical University,679,0577 Summit Avenue,Rostokino,,AG32O,RU,477,1,1
1478,University of Lower Silesia of the Association for the Advancement of Education in Wroclaw.,3,5001 Fulton Center,Lwówek Śląski,,OC51Q,PL,478,1,1
1479,Tiffin University Prague,159,35 Huxley Terrace,Želešice,,WS66Y,CZ,479,1,1
1480,Chongqing University of Communications,382,5 Ludington Trail,Zhize,,ZA31B,CN,480,1,1
1481,Xi'an Jiaotong University,66,6422 Superior Point,Bailang,,SU81Y,CN,481,1,1
1482,Tiffin University Prague,89,188 Meadow Vale Junction,Moravská Nová Ves,,JO05U,CZ,482,1,1
1483,Naresuan University,3841,1 Montana Alley,Akat Amnuai,,NG66W,TH,483,1,1
1484,Ecole Nationale Supérieure du Pétrole et des Monteurs,81629,65972 Farwell Way,Lyon,Rhône-Alpes,GO62C,FR,484,1,1
1485,Kaliningrad State Technical University,1,81106 Thierer Pass,Odesskoye,,PQ23C,RU,485,1,1
1486,Universidade Candido Mendes,9,20954 Nelson Plaza,Palmeira,,OR31D,BR,486,1,1
1487,Brescia University,62,52693 Utah Plaza,El Paso,Texas,JP75L,US,487,1,1
1488,Xi'an University of Technology,80420,39 International Lane,Dahedian,,RE87S,CN,488,1,1
1489,Universitas Pancasila,41827,31187 Thierer Pass,Cigaleuh Kulon,,MP84X,ID,489,1,1
1490,China USA Business University,90,84 Buena Vista Avenue,Tuopu Luke,,BC89K,CN,490,1,1
1491,Altai State Medical University,7397,3356 Dexter Hill,Nekhayevskiy,,UJ22T,RU,491,1,1
1492,Huanghe Science & Technology University,70422,110 Sutteridge Hill,Ji’an,,TO89H,CN,492,1,1
1493,Umea University,82,46388 Waxwing Avenue,Västerås,Västmanland,UV76D,SE,493,1,1
1494,Universitas Muhammadiyah Sumatra Utara,3,85364 Utah Street,Suwaduk,,SR25V,ID,494,1,1
1495,Universidade de Franca,378,1 Shoshone Terrace,Bandeirantes,,BX28T,BR,495,1,1
1496,University of Montenegro,5544,2 Scott Plaza,Budva,,ZN10U,ME,496,1,1
1497,Ludwik Solski State Academy of Theatre in Cracow,1,35742 Linden Avenue,Knyszyn,,GU53E,PL,497,1,1
1498,Tiffin University Prague,967,119 Ronald Regan Trail,Hrob,,YL92X,CZ,498,1,1
1499,Polytechnic University of the Philippines,2430,81 Steensland Alley,Bucay,,QV93G,PH,499,1,1
1500,University of Regina Carmeli,525,464 1st Plaza,Cagdianao,,DT32I,PH,500,1,1
